"Date","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"14 Feb 2019","Ashmont","10 Lae Avenue, Ashmont","$120,000"," 1"," 3",282.116666666667,459.492,"Sold"
"14 Feb 2019","Corowa","290 Honour Avenue, Corowa","$120,000"," 1"," 2",359.533333333333,606.542,"Sold"
"14 Feb 2019","Ashmont","58 Connorton Avenue, Ashmont","$120,000"," 1"," 3",282.116666666667,459.492,"Sold"
"13 Feb 2019","Tumbarumba","46 Winton Street, Tumbarumba","$153,000"," 1"," 2",293.666666666667,468.944,"Sold"
"13 Feb 2019","Rappville","15 - 17 Nandabah Street, Rappville","$145,000"," 2"," 3",448.383333333333,687.567,"Sold"
"12 Feb 2019","Kandos","26 Bent St, Kandos","$170,000"," 1"," 3",173.6,214.224,"Sold"
"12 Feb 2019","Ashmont","15 Tarakan Avenue, Ashmont","$165,000"," 1"," 3",282.116666666667,459.492,"Sold"
"12 Feb 2019","Barraba","12 Fitzroy Street, Barraba","$122,000"," 1"," 4",345.666666666667,486.82,"Sold"
"11 Feb 2019","Emmaville","41 Cryland Street, Emmaville","$155,000"," 1"," 3",452.083333333333,615.12,"Sold"
"11 Feb 2019","Cowra","6 Lee Street, Cowra","$106,000"," 1"," 3",231.566666666667,291.247,"Sold"
"09 Feb 2019","Bourke","27 Mertin Street, Bourke","$142,500"," 1"," 3",503.383333333333,741.707,"Sold"
"08 Feb 2019","Eugowra","40 Oberon Street, Eugowra","$164,000"," 1"," 3",251.216666666667,322.68,"Sold"
"08 Feb 2019","Corowa","7 Martin Street, Corowa","$160,000"," 1"," 2",359.533333333333,606.542,"Sold"
"07 Feb 2019","Wellington","116 Warne Street, Wellington","$175,000"," 1"," 3",258.633333333333,332.55,"Sold"
"07 Feb 2019","Coolah","79 Binnia Street, Coolah","$155,000"," 1"," 2",268.316666666667,355.334,"Sold"
"07 Feb 2019","Broken Hill","69 Newton Street, Broken Hill","$83,500"," 1"," 3",747.5,1126.84,"Sold"
"07 Feb 2019","Mumbil","1 Burrendong Way, Mumbil","$80,000"," 1"," 2",242.233333333333,308.776,"Sold"
"07 Feb 2019","Broken Hill","113 Eyre St, Broken Hill","$49,000"," 1"," 3",747.5,1126.84,"Sold"
"06 Feb 2019","Karuah","16 Boronia Road, Karuah","$175,000"," 1"," 1",135.15,185.677,"Sold"
"06 Feb 2019","Mount Austin","26 Monash Street, Mount Austin","$165,000"," 1"," 3",279.783333333333,457.851,"Sold"
"06 Feb 2019","Muswellbrook","43 Tindale Street, Muswellbrook","$162,500"," 1"," 3",164.583333333333,237.029,"Sold"
"06 Feb 2019","Leeton","39 Binyah St., Whitton, Leeton","$145,000"," 1"," 3",355.416666666667,556.851,"Sold"
"06 Feb 2019","Cobar","75 Marshall Street, Cobar","$115,000"," 1"," 3",461.4,669.21,"Sold"
"06 Feb 2019","Broken Hill","295 Wilson Street, Broken Hill","$100,000"," 1"," 3",747.5,1126.84,"Sold"
"06 Feb 2019","Broken Hill","250 Lane Street, Broken Hill","$92,000"," 1"," 3",747.5,1126.84,"Sold"
"05 Feb 2019","Ganmain","35 Spring Street, Ganmain","$150,000"," 1"," 3",304.733333333333,482.076,"Sold"
"04 Feb 2019","Horseshoe Bend","14 Bella Street, Horseshoe Bend","$155,000"," 1"," 2",116.316666666667,154.446,"Sold"
"04 Feb 2019","Portland","49 Villiers Street, Portland","$150,000"," 1"," 3",129.566666666667,146.976,"Sold"
"02 Feb 2019","Forbes","14 Cedar Crescent, Forbes","$101,000"," 1"," 3",275.683333333333,357.998,"Sold"
"01 Feb 2019","Orange","28 Moresby Street, Orange","$174,000"," 1"," 1",193.966666666667,237.883,"Sold"
"01 Feb 2019","Cowra","37 Logan Street, Cowra","$169,000"," 1"," 3",231.566666666667,291.247,"Sold"
"01 Feb 2019","Broken Hill","12 Crystal Street, Broken Hill","$138,000"," 1"," 3",747.5,1126.84,"Sold"
"31 Jan 2019","Glen Innes","155 Church Street, Glen Innes","$175,000"," 1"," 3",401.983333333333,559.494,"Sold"
"31 Jan 2019","Parkes","41 Forbes Road, Parkes","$125,000"," 1"," 2",262.666666666667,340.97,"Sold"
"31 Jan 2019","Barraba","29 Henry Street, Barraba","$120,000"," 1"," 3",345.666666666667,486.82,"Sold"
"30 Jan 2019","Quirindi","51 Fortune Street, Quirindi","$106,000"," 1"," 4",242.033333333333,339.247,"Sold"
"30 Jan 2019","Yeoval","5 King Street, Yeoval","$60,000"," 1"," 3",251.866666666667,321.386,"Sold"
"29 Jan 2019","Gooloogong","44-46 Main Street, Gooloogong","$130,000"," 1"," 1",251.583333333333,319.535,"Sold"
