"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"64","Oberon","162 Pierce Street, Wellington","$74,500"," 1"," 3",152.283333333333,172.362
"65","Broken Hill","7 High Street, Ardglen","$95,000"," 1"," 3",747.5,1126.84
"66","Broken Hill","9 Pollock Street, Quirindi","$120,000"," 1"," 2",747.5,1126.84
"67","Broken Hill","115 Iodide St, Broken Hill","$75,000"," 1"," 3",747.5,1126.84
"68","Aberdeen","23 Nicholls Street, Broken Hill","$74,999"," 1"," 3",178.466666666667,251.816
"69","Lockhart","12 Bonanza Street, Broken Hill","$120,000"," 1"," 3",319.516666666667,519.498
"70","Pooncarie","8 Sweetwater Drive, Henty","$185,000"," 1"," 2",703,1137.758
"71","Broken Hill","8 Wattle Street, Culcairn","$175,000"," 1"," 3",747.5,1126.84
"72","Coonamble","29-31 Tarcoola Street, Pooncarie","$80,000 - $85,000"," 1"," 3",371.333333333333,517.207
"73","Broken Hill","187 Brazil St, Broken Hill","$130,000"," 1"," 3",747.5,1126.84
"74","South Grafton","581 Lane Street, Broken Hill","UNDER CONTRACT"," 1"," 2",380.516666666667,597.104
"75","Turramurra","34 The Grange, Picton","$1,075,000 - $1,180,000"," 3"," 4",28.3,23.022
"76","Broken Hill","45 Ivor St, Henty","$70,000"," 1"," 2",747.5,1126.84
"77","Coonamble","52 Wandobah Road, Gunnedah","For Sale $160,000-$176,000"," 1"," 3",371.333333333333,517.207
"78","Broken Hill","67 Williams St, Broken Hill","$160,000 - $170,000"," 1"," 3",747.5,1126.84
"79","Scone","27 Boughtman St, Broken Hill","$89,900"," 1"," 3",191.116666666667,265.882
"80","Kooringal","285 Piper Street, Broken Hill","$85,000"," 1"," 2",275,455.478
"81","Broken Hill","20/124 Margaret Street, Orange","$105,000"," 1"," 1",747.5,1126.84
"82","Port Macquarie","7 Kowa Place, Jerrabomberra","Contact Agent"," 2"," 4",245.05,374.344
"83","South Grafton","1-3 Bligh St, Baradine","$55,000"," 1"," 3",380.516666666667,597.104
"84","Winston Hills","340 Morish St, Broken Hill","$90,000"," 1"," 2",11.8333333333333,8.122
"85","Broken Hill","339 Duff St, Broken Hill","$124,900"," 1"," 3",747.5,1126.84
