"X","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status","Date"
883,"South Grafton","337 Auburn Street, Moree","$110,000",1,3,380.516666666667,597.104,"ForSale",NA
884,"Winston Hills","Address available on request, Cootamundra","$155000",1,3,11.8333333333333,8.122,"ForSale",NA
885,"Broken Hill","33 Arthur Street, Narrandera","$145,000",1,3,747.5,1126.84,"ForSale",NA
886,"Kelso","155/50 Junction Road, Barrack Point","$89,500",1,1,147.9,180.4,"ForSale",NA
887,"Springfield","112 Dalgarno Street, Coonabarabran","$162,000",1,4,66.4333333333333,70.3,"ForSale",NA
888,"Cumnock","131 MacQueen Street, Aberdeen","Price Reduced $110,000",1,3,234.65,297.163,"ForSale",NA
889,"Oberon","36 Plunkett St, Warialda","$138,000",1,3,152.283333333333,172.362,"ForSale",NA
890,"Broken Hill","108 Gisborne Street, Wellington","$130,000",1,4,747.5,1126.84,"ForSale",NA
891,"Broken Hill","55-59 Castlereagh St, Baradine","$180,000",1,4,747.5,1126.84,"ForSale",NA
892,"Broken Hill","31 Kook Street, Darlington Point","$178,000",1,2,747.5,1126.84,"ForSale",NA
893,"Aberdeen","11 WHITE ST, Coonabarabran","$135,000",1,4,178.466666666667,251.816,"ForSale",NA
894,"Lockhart","1308 Brungle Road, Brungle","$160,000",1,1,319.516666666667,519.498,"ForSale",NA
895,"Pooncarie","64 Martin  Street, Coolah","$169,000",1,2,703,1137.758,"ForSale",NA
896,"Broken Hill","3 Thornton Ave, Warren","$139,000",1,3,747.5,1126.84,"ForSale",NA
897,"Coonamble","38 Enmore St, Trangie","$135,000",1,2,371.333333333333,517.207,"ForSale",NA
898,"Broken Hill","15 Agate Street, Tingha","$100,000",1,2,747.5,1126.84,"ForSale",NA
899,"South Grafton","4-6 Renwick Street, Barmedman","$169,900",2,4,380.516666666667,597.104,"ForSale",NA
900,"Turramurra","69 Queen Street, Barmedman","Price Guide $108,000 - $118,000",2,2,28.3,23.022,"ForSale",NA
901,"Broken Hill","Address available on request, Warren","$105,000",1,2,747.5,1126.84,"ForSale",NA
902,"Coonamble","34 Queen Street, Barraba","$99,000",1,2,371.333333333333,517.207,"ForSale",NA
903,"Broken Hill","337 Boston Street, Moree","$139,000",1,3,747.5,1126.84,"ForSale",NA
904,"Scone","37 Leura Road, Orange","$175,000",1,3,191.116666666667,265.882,"ForSale",NA
905,"Kooringal","Address available on request, Cootamundra","$155,000",1,3,275,455.478,"ForSale",NA
907,"Port Macquarie","138 Maughan Street, Wellington","$139,750.00",1,2,245.05,374.344,"ForSale",NA
908,"South Grafton","356 Edward Street, Moree","$125,000",1,3,380.516666666667,597.104,"ForSale",NA
909,"Winston Hills","27 Goobang Street, Condobolin","$85,000",1,3,11.8333333333333,8.122,"ForSale",NA
910,"Broken Hill","27 Plunkett Street, Warialda","$80,000",1,3,747.5,1126.84,"ForSale",NA
911,"Kelso","13 Heber Street, Bingara","$170,000",1,3,147.9,180.4,"ForSale",NA
912,"Springfield","163 Percy Street, Wellington","$149,000",1,2,66.4333333333333,70.3,"ForSale",NA
913,"Cumnock","140 - 142 Mayne Street, Gulgong","$149,000 Priced to Sell",1,2,234.65,297.163,"ForSale",NA
914,"Oberon","44 Green Street, Cobar","$115,000",1,3,152.283333333333,172.362,"ForSale",NA
915,"Broken Hill","30 Short Street, Wellington","$169,000",1,3,747.5,1126.84,"ForSale",NA
917,"Broken Hill","13 Nowranie Street, Jerilderie","$99,000.00",1,2,747.5,1126.84,"ForSale",NA
918,"Aberdeen","6/731 Princes Highway, Eden","$175,000",1,2,178.466666666667,251.816,"ForSale",NA
919,"Lockhart","97 Dumaresq Street, Glen Innes","$166,000",1,3,319.516666666667,519.498,"ForSale",NA
920,"Pooncarie","3 Marsh Street, Wellington","$145,000",1,3,703,1137.758,"ForSale",NA
921,"Broken Hill","6 15-17 Tycannah Street, Moree","$75,000",1,2,747.5,1126.84,"ForSale",NA
922,"Coonamble","40 King Street, Narrandera","$70,000",1,2,371.333333333333,517.207,"ForSale",NA
923,"Broken Hill","90 Grovers Lane, Glen Innes","$140,000",2,4,747.5,1126.84,"ForSale",NA
924,"South Grafton","Address available on request, Bingara","$90,000",1,1,380.516666666667,597.104,"ForSale",NA
925,"Turramurra","292 Poictiers Street, Deniliquin","Priced reduced NOW $169,000",1,3,28.3,23.022,"ForSale",NA
926,"Broken Hill","24 Kirndeen St, Culcairn","NEW PRICE $155,000",1,4,747.5,1126.84,"ForSale",NA
927,"Coonamble","23 William Street, Narrandera","Reduced $127,000",1,3,371.333333333333,517.207,"ForSale",NA
928,"Broken Hill","11 Tualka Terrace, Moulamein","$98,000",1,3,747.5,1126.84,"ForSale",NA
929,"Scone","131 Summerland Way, Kyogle","$105,000",1,1,191.116666666667,265.882,"ForSale",NA
930,"Kooringal","Address available on request, Warren","$129,000",1,3,275,455.478,"ForSale",NA
